,city,id_city,rain,pop,pressure,humidity,dt,dt_normal
169,Nímes,24,0.0,0.03,1014,33,1653476400,2022-05-25 11:00:00
170,Nímes,24,0.0,0.12,1020,29,1653562800,2022-05-26 11:00:00
171,Nímes,24,0.37,0.24,1018,26,1653649200,2022-05-27 11:00:00
172,Nímes,24,0.0,0.0,1013,14,1653735600,2022-05-28 11:00:00
173,Nímes,24,0.0,0.0,1011,18,1653822000,2022-05-29 11:00:00
174,Nímes,24,0.0,0.0,1010,17,1653908400,2022-05-30 11:00:00
175,Aigues Mortes,25,0.0,0.16,1010,41,1653390000,2022-05-24 11:00:00
176,Aigues Mortes,25,0.0,0.14,1014,41,1653476400,2022-05-25 11:00:00
177,Aigues Mortes,25,0.0,0.06,1020,38,1653562800,2022-05-26 11:00:00
178,Aigues Mortes,25,0.18,0.38,1018,42,1653649200,2022-05-27 11:00:00
179,Aigues Mortes,25,0.0,0.0,1013,20,1653735600,2022-05-28 11:00:00
180,Aigues Mortes,25,0.0,0.0,1011,29,1653822000,2022-05-29 11:00:00
181,Aigues Mortes,25,0.0,0.0,1010,26,1653908400,2022-05-30 11:00:00
182,Saintes Maries de la mer,26,0.0,0.12,1010,47,1653390000,2022-05-24 11:00:00
183,Saintes Maries de la mer,26,0.0,0.15,1014,46,1653476400,2022-05-25 11:00:00
184,Saintes Maries de la mer,26,0.0,0.16,1020,44,1653562800,2022-05-26 11:00:00
185,Saintes Maries de la mer,26,0.12,0.24,1018,47,1653649200,2022-05-27 11:00:00
186,Saintes Maries de la mer,26,0.0,0.0,1013,27,1653735600,2022-05-28 11:00:00
187,Saintes Maries de la mer,26,0.0,0.0,1011,33,1653822000,2022-05-29 11:00:00
188,Saintes Maries de la mer,26,0.0,0.0,1010,30,1653908400,2022-05-30 11:00:00
189,Collioure,27,5.08,0.9,1012,73,1653390000,2022-05-24 11:00:00
190,Collioure,27,6.22,0.99,1016,58,1653476400,2022-05-25 11:00:00
191,Collioure,27,0.0,0.07,1021,45,1653562800,2022-05-26 11:00:00
192,Collioure,27,0.0,0.08,1019,43,1653649200,2022-05-27 11:00:00
193,Collioure,27,0.0,0.0,1014,37,1653735600,2022-05-28 11:00:00
194,Collioure,27,0.0,0.0,1011,38,1653822000,2022-05-29 11:00:00
195,Collioure,27,0.0,0.15,1011,42,1653908400,2022-05-30 11:00:00
196,Carcassonne,28,1.02,0.64,1013,67,1653390000,2022-05-24 11:00:00
197,Carcassonne,28,3.28,0.83,1019,52,1653476400,2022-05-25 11:00:00
198,Carcassonne,28,0.0,0.0,1024,49,1653562800,2022-05-26 11:00:00
199,Carcassonne,28,0.0,0.0,1022,46,1653649200,2022-05-27 11:00:00
200,Carcassonne,28,0.0,0.0,1017,36,1653735600,2022-05-28 11:00:00
201,Carcassonne,28,0.0,0.0,1013,31,1653822000,2022-05-29 11:00:00
202,Carcassonne,28,0.0,0.02,1012,26,1653908400,2022-05-30 11:00:00
203,Ariege,29,11.41,0.96,1016,88,1653390000,2022-05-24 11:00:00
204,Ariege,29,5.49,0.97,1021,69,1653476400,2022-05-25 11:00:00
205,Ariege,29,0.0,0.0,1026,57,1653562800,2022-05-26 11:00:00
206,Ariege,29,0.0,0.0,1024,50,1653649200,2022-05-27 11:00:00
207,Ariege,29,0.0,0.0,1018,48,1653735600,2022-05-28 11:00:00
208,Ariege,29,0.0,0.02,1014,38,1653822000,2022-05-29 11:00:00
209,Ariege,29,0.0,0.17,1012,41,1653908400,2022-05-30 11:00:00
210,Toulouse,30,2.52,0.77,1014,68,1653390000,2022-05-24 11:00:00
211,Toulouse,30,0.0,0.57,1020,49,1653476400,2022-05-25 11:00:00
212,Toulouse,30,0.0,0.0,1026,53,1653562800,2022-05-26 11:00:00
213,Toulouse,30,0.0,0.0,1023,49,1653649200,2022-05-27 11:00:00
214,Toulouse,30,0.0,0.0,1018,36,1653735600,2022-05-28 11:00:00
215,Toulouse,30,0.0,0.0,1014,36,1653822000,2022-05-29 11:00:00
216,Toulouse,30,0.0,0.0,1013,29,1653908400,2022-05-30 11:00:00
217,Montauban,31,2.12,0.81,1013,55,1653390000,2022-05-24 11:00:00
218,Montauban,31,0.0,0.25,1020,50,1653476400,2022-05-25 11:00:00
219,Montauban,31,0.0,0.0,1026,54,1653562800,2022-05-26 11:00:00
220,Montauban,31,0.0,0.0,1023,46,1653649200,2022-05-27 11:00:00
221,Montauban,31,0.0,0.0,1018,35,1653735600,2022-05-28 11:00:00
222,Montauban,31,0.0,0.0,1014,38,1653822000,2022-05-29 11:00:00
223,Montauban,31,0.0,0.0,1013,29,1653908400,2022-05-30 11:00:00
224,Biarritz,32,6.2,0.79,1015,84,1653393600,2022-05-24 12:00:00
225,Biarritz,32,6.31,0.83,1023,70,1653480000,2022-05-25 12:00:00
